Question,Answer,Feedback,Final Score
As countries have developed there has been a trend towards  smaller family sizes. Why does this happen?How does this affect society?,"Many countries around the world are becoming richer as they develop and at the same time these countries are seeing a reduction in the size of the family unit. This essay will discuss the reasons for this phenomenon and examine some of the possible effects it will have on society.

One of the principal reasons for smaller family units is birth control. As a country develops and becomes richer, birth control becomes more readily available. This may be due to a rise in the number of medical clinics or the distribution of free contraception. The result of this is that people can choose family size. Another important factor is the rise in the levels of education that occur as a country develops, which means that women are more educated and more likely to be working. Consequently, many will want to delay having children and so will likely have fewer in the long-term. 

This can impact on society in a number of ways. One positive effect is that the population will fall, which will likely result in less poverty as there will be less competition for scarce resources. The parents can also provide a better education to their children as it will cost less, which will benefit society as a whole. A possible negative impact is that there will be fewer younger people in the workforce in the future, thus making the sustainability of future economic growth less certain.

In conclusion, family size has fallen due to birth control and education, and this can have positive and negative impacts on society. Regardless of any impacts, this trend is likely to continue as countries around the world develop and become wealthier.

","The family size essay is well-organized - the first sentence of the introduction introduces the topic and this is followed by the thesis which clearly states the issues that will be addressed:

Each paragraph then addresses one of these parts in turn.

The first sentences clearly illustrate the topic of each paragraph:

The conclusion then repeats the thesis

The family size essay is well signposted with linking words and phrases to lead the reader through the ideas, giving reasons and results. For example, from body paragraph one:

All of the content clearly answers the question and the ideas are properly explained so there is no ambiguity. 

",9.0
Many men and women are making the decision to have children later in life. Why is this trend occurring?What are the impacts of this development on both family and society?,"In the past, it was a natural step that a couple would get married fairly young, and then start a family. However, this is no longer the case and the delaying of childbirth is becoming very common. This essay will consider the reasons for this trend and the possible effects on families and society. 

The driving force behind this trend is changing employment patterns. As more women have pursued an education and entered the workforce, they tend to marry later and have children later in their life. This is unavoidable in many cases because women cannot combine family and work well due to costly childcare. Another factor is all the other opportunities available to everyone. For example, many men and women choose to travel around the world or take the chance to work in another country, thus delaying settling down.

There are a number of possible impacts on families and society. Firstly, with regards to families, it can be more difficult for older women to get pregnant and they may experience more health problems, such as a miscarriage, high blood pressure or diabetes, during pregnancy. Also, the parents may find the whole experience of bringing up children more tiring if they are older. In one respect it may be positive for society because if people are choosing to work for longer, a country will have a productive workforce. On the negative side though, in the long-term falling fertility rates will mean an aging population with a lack of young people to work and take care of the elderly. 

In conclusion, there are several reasons that people are having children later in life, and this can have a number of impacts, both positive and negative. Given the fact that society continues to change, this trend is likely to continue well into the future. 

","This essay on  having children later in life would score highly in the IELTS test for the following reasons.

The Task

The essay addresses all three parts that are referred to in the question - the reasons and the impacts on families and society. 

Evidence and support is provided for all three points, so all parts of the task are fully covered.

Coherency and Cohesion

The essay is well-organised as each paragraph has a central idea. One body paragraph explains the causes and the other discusses the impacts.

The ideas are all easy to follow and paragraphs and sentences are linked together well.

Vocabulary

There is a good range of vocabulary and some evidence of less common vocabulary and phrases that shows the writer has a good command of the English language. 


Grammatical Range and Accuracy

The grammar is very accurate, and there is evidence of a wide range of complex sentences.

",8.5
"Today, people in many countries have to spend more and more time away from their families.Why is this happening?What effects does this have on the people themselves and on their families?","In today's world, many individuals find that they have less time with the family. Before, such occurrences were limited to just a few places, but now, citizens in many countries experience something similar. Although the situation may be viewed as a necessary sacrifice for some, there are consequences.

One reason why this is happening is that the increased standard of living is requiring breadwinners to seek better opportunities farther from home. Domestically, this may mean working in a nearby town or city on the weekdays and going home on the weekends. But other times, the search for greener pastures often requires them to work abroad for months or years. Another reason for this shift is societies promotion of independence. Nowadays, a person is considered mature and successful if they can live independently. Thus, many teens leave home early, preferring to study in faraway cities. Such independence may also encourage spouses to maintain separate career paths that keep them away from one another for extended periods.

Unfortunately, such a long time apart takes its toll on individuals and their families. Homesickness is often a result of time away from the family, leading to depression. If such persons cannot recover quickly, their jobs or studies are often greatly affected, leading to even more problems - a vicious cycle. As for their families, the lengthy separation usually weakens the family bonds, despite the availability of communication technology. Children often do not feel their absentee parent's love, causing resentment in some cases. The relationship between spouses is particularly strained, which is why marital affairs and divorce often occur.

To conclude, because of the general need to provide for the family and achieve personal success, this trend of living apart is slowly becoming the norm. However, if strong family bonds are to be maintained, families should consider other ways to earn or ensure that meaningful communication between members is somehow sustained.

","The essay would achieve a high score for IELTS.

It fully addresses both parts of the question:

Relevant ideas are presented and explained.

It's very well-organised with introduction, body paragraphs and conclusion. Ideas are all linked in well together.

It has excellent vocabulary and grammar in terms of range and accuracy. 

",8.5
"Nowadays, families are not as close as in the past and a lot of people have become used to this.Why is this happening?Do the advantages of this trend outweigh the drawbacks?","In today's world, many individuals find that they have less time with the family. Before, such occurrences were limited to just a few places, but now, citizens in many countries experience something similar. Although the situation may be viewed as a necessary sacrifice for some, there are consequences.

One reason why this is happening is that the increased standard of living is requiring breadwinners to seek better opportunities farther from home. Domestically, this may mean working in a nearby town or city on the weekdays and going home on the weekends. But other times, the search for greener pastures often requires them to work abroad for months or years. Another reason for this shift is societies promotion of independence. Nowadays, a person is considered mature and successful if they can live independently. Thus, many teens leave home early, preferring to study in faraway cities. Such independence may also encourage spouses to maintain separate career paths that keep them away from one another for extended periods.

Unfortunately, such a long time apart takes its toll on individuals and their families. Homesickness is often a result of time away from the family, leading to depression. If such persons cannot recover quickly, their jobs or studies are often greatly affected, leading to even more problems - a vicious cycle. As for their families, the lengthy separation usually weakens the family bonds, despite the availability of communication technology. Children often do not feel their absentee parent's love, causing resentment in some cases. The relationship between spouses is particularly strained, which is why marital affairs and divorce often occur.

To conclude, because of the general need to provide for the family and achieve personal success, this trend of living apart is slowly becoming the norm. However, if strong family bonds are to be maintained, families should consider other ways to earn or ensure that meaningful communication between members is somehow sustained.

","This family values essay would merit a high IELTS score.

The essay is organized clearly. The introduction introduces the topic and the thesis clearly sets out the contents of the essay.

Each body paragraph has a clear central idea - the first paragraph is about the reasons and the second paragraph examines the advantages and disadvantages. This paragraph also makes it clear that the writer believes the drawbacks outweigh the benefits.

It would also be possible to have presented a separate body paragraph, each with the advantages and disadvantages, but you would need to be careful not to write too much and possibly run out of time.

The conclusion then summarises the main points made in the essay and again clarifies  the opinion.

",9.0
"In recent times, many people are making the decision to live alone. What are the causes of this? Does it have positive or negatives effects on society?","There has been a tendency in many countries over recent years for more people of all ages to choose to live alone. This essay will discuss the reasons for this and explain why this can have both advantages and disadvantages for society. 

One reason for this trend is economic. People are generally more affluent than in the past, and this means that they can afford to make the choice to live alone, something not always possible in the past. In addition to this, there are also cultural factors. There used to be more pressure to marry young and think about having a family. Now though, people desire self-fulfilment, and will marry later or divorce if their marriage is not happy. Also, the developments in communication technology such as social media mean that people can live alone but still feel connected to others.

I would argue that this development has positive and negative impacts on society. A positive impact is that those individuals who are young and single have helped to revitalise cities around the world, as they are more likely to live in central locations and socialise, spend money and participate in public life than those living with others. However, a drawback is that some people living alone who experience problems may not have an outlet to talk about them. This lack of social support could lead to more mental health problems in the general population, which would need to be dealt with by public health care services.  

To conclude, economic and cultural factors, and changes in communication have resulted in more people living alone, and, although this has benefits to society, there are also negative impacts. 

","This living alone essay would receive a high IELTS score.

It is well structured. Paragraphing is  appropriate, with an introduction, conclusion, and two body paragraphs, each one tackling a diffferent part of the question. 

The task is fully addressed as well, as the essay discusses both the causes and the impacts on society. The topic sentence in the second body paragraph makes it clear what the view of the author is, as does the thesis in the introduction.

There is also a good mix of topic relevant vocabulary and complex sentences.

",9.0
"In many countries, young people are leaving their homes in rural areas to study or work in cities.What do you think are the reasons for this? Do the advantages of this development outweigh the disadvantages?","In many countries around the world, the divide between rural and urban communities has been increasing in recent years. Young people seeking opportunities and change are making the move from their rural homes into the big cities with the promise of increased career prospects, greater financial freedom, and a new lifestyle, and these advantages often outweigh the drawbacks.

One reason for young people leaving is that the business and career opportunities offered in cities is appealing. Rural communities often have limited prospects for young people who dream of more than the relatively simple life of farming and small-town businesses. Regarding study, cities will sometimes have more educational opportunities, with schools and universities perhaps having better resources and advanced technology to learn from. Having grown up in a smaller, rural community for their entire lives, many young people view the move to big cities more as an opportunity to change their social life, rather than their financial future, with the city offering more opportunities for entertainment and to meet people from different walks of life.

However, there can be disadvantages of such moves. Unfortunately, in many instances, the promised opportunities do not come to fruition as the markets are highly competitive, and jobs are still limited even in a large city. Sadly the change in values can also be difficult for them to adjust to, and often young people end up in further financial trouble and ultimately have to go back to their rural homes. In some cases, they are unable to create the life they dreamed of and sometimes live more difficult, more isolated lives in the big city while chasing their dreams.

While there are potential pitfalls of migrating for these young people, overall the benefits that can be gained from taking the risk in terms of a better future outweigh these. Ultimately it is up to each person carefully to weigh up which is the best option for them before making any decision.

","This rural to urban migration essay addresses the task well as the body paragraphs give sufficient details to explain the reasons for moving and the pros and cons of this. 

It means the essay stretches to 326 words - you should reduce the ideas in the body paragraphs to perhaps two in each if you are a weaker writer and you are unable to write an essay this long. The introduction could also be made shorter to save time. 

Quality is more important than quantity, so there is no point writing as much as possible if this will affect your coherence and cohesion, and perhaps your grammatical accuracy. 

The rural to urban migration essay is organised clearly, with the reasons discussed first but then possible drawbacks next. The conclusion then clearly states the writers view on the topic. 

",8.0
"In   order to solve traffic problems, governments should tax private car   owners heavily and use the money to improve public transportation.What are the advantages and disadvantages of such a solution?","Traffic congestion in many cities around the world is severe. One possible solution to this problem is to impose heavy taxes on car drivers and use this money to make public transport better. This essay will discuss the benefits and drawbacks of such a measure.

One of the first benefits of such a measure is that the heavy taxes would discourage car owners from using their cars because it would become very expensive to drive. This would mean that they would begin to make use of public transport instead, thus reducing traffic problems and pollution as well. Another benefit would be that much more use would be made of public transport if it was improved. It is often the case that public transport in cities is very poor. For example, we often see old buses and trains that people would rather not use. High taxes would generate enough money to make the necessary changes.

Nevertheless, there are drawbacks to such a solution. First and foremost, this would be a heavy burden on the car drivers. At present, taxes are already high for a lot of people, and so further taxes would only mean less money at the end of the month for most people who may have no choice but to drive every day. In addition, this type of tax would likely be set at a fixed amount. This would mean that it would hit those with less money harder, whilst the rich could likely afford it. It is therefore not a fair tax.

To conclude, this solution is worth considering to improve the current situation, but there are advantages and disadvantages of introducing such a policy.

","The topic is clearly stated in the general statement of the introduction, and the thesis tells the reader that advantages and disadvantages will be discussed.

The traffic problems essay is organised well, with the advantages of such a solution in the first body paragraph and the disadvantages in the next.

Each paragraph has two ideas and they are well signaled and supported.

There are some good uses of tenses to show the writer is discussing the unreal future i.e. something that has not happened (would discourage car owners..., would be a heavy burden...,).

",8.5
Nowadays many people have access to  computers on a wide basis and a large number of children play computer games. What are the positive  and negative impacts of playing computer games and what can be done to minimize the bad  effects?,"Access to computers has increased significantly over recent decades, and the number of children playing games on computers has increased too. This essay will consider the positive and negative impacts of this and discuss ways to avoid the potential negative effects.

With regards to the positive effects, playing computer games can develop children's cognitive skills. Many popular games require abstract and high level thinking skills in order to win, skills that may not be taught at school. For example, children need to follow instructions, solve complex problems and use logic in many of the games that are currently popular. Such experience will be beneficial to a child's progression into an adult.

However, concerns have been raised about the prolific use of computer games by children, much of this related to the violence they contain. The problem is that in many of the games children are rewarded for being more violent, and this violence is repeated again and again. For instance, many games involve children helping their character to kill, kick, stab and shoot. This may lead to increased aggressive feelings, thoughts, and behaviours.  

In order to minimize these negative impacts, parents need to take certain steps. Firstly, some video games are rated according to their content, so parents must check this and ensure their children are not allowed to have access to games that are unsuitable. Parents can also set limits on the length of time games are played. Finally, parents should also take an active interest in the games their children are playing so they can find out how they feel about what they are observing. 

To sum up, there are benefits of computer games, but there are disadvantages too. However, if parents take adequate precautions, the severity of these negative impacts can be avoided.

","This computer games essay is  well-organized and it directly answers the question, with each paragraph addressing one of the tasks.

Note how the topic sentences match the tasks (which have been taken from the prompt):

With regards to the positive effects, playing computers games can develop children's cognitive skills.

However, concerns have been raised about the prolific use of computer games by children, much of this related to the violence they contain. 

In order to minimize these negative impacts, parents need to take certain steps. 

This is why  analyzing the question is so important. This provides you with the basic building blocks with which to write your essay.

",8.0
In some countries it is now illegal to reject someone applying for a job because of his or her age.Do you think this is a positive or negative development?,"It is now fairly common to exclude the age of a job applicant from an application form so that the selection of a candidate is not based on this criteria. I view this as a positive development. 

There are certain reasons that an employer may feel this is not a step in the right direction. The main one is that they may feel they need to know a person's age because the job is not suitable for an older person. This, for example, could be because they think there is a need to be very physically fit, such as work within the construction industry where heavy lifting is needed or other work where someone is expected to be very active all day.

However, as a general rule it is better if rejection on the basis of age is not permitted. Although some jobs do need younger people, many employers will simply reject a candidate unfairly. For instance, they may simply be concerned about the image of the company and think a younger person will fit the face of the company better even though an older person may be just as capable of carrying out the role. 

Another reason is that older people have things to offer employers that younger people may not be able to. If it is a job within a particular field, such as law or accountancy, then the older person will have many skills in this area through working in it for so long. In addition to this, they will also bring a wealth of life experiences that a younger person may not have, which is also beneficial to any role. 

All in all, it is therefore a positive development if employers cannot reject someone because of their age. Hopefully more countries will adopt this rule so older people have equal opportunities everywhere.

","As the writer thinks that overall it's positive, you do not want to have two paragraphs with negative reasons and one with positive. That would not be coherent.",6.5
More and more parents are allowing their children to play on computers and tablets as they think that children should learn technology skills. Do the advantages of this development outweigh the disadvantages?,"These days it is common to observe children spending significant amounts of time on electronic devices such as computers and tablets. In my opinion, the drawbacks of allowing children to do this outweigh any advantages. 

The benefit of this development is that it will keep children occupied. There is no doubt that raising children and taking care of them can be stressful at times for parents so allowing them to play on a device means that the parents can have a break and not have to continuously entertain them. This could potentially mean improved family relationships.

However, there are several disadvantages. Firstly, children's free time can be better utilised with other activities. Although they may learn some technological skills, they mostly just play games, and in any case computer skills are now taught in school. Of much more benefit is encouraging children to spend their free time interacting with other children, playing with normal toys, and playing other games outside, which will foster their creative, cognitive, and social skills.

In addition to this there is growing evidence that it can also have negative health impacts. Research reported in the media claims that it can possibly damage the eyes of a child when looking at screens for long periods. Studies also indicate children using these devices may have more difficulty sleeping, something which is crucial for mental development.




In conclusion, the drawbacks of allowing children to use computers and tablets outweigh the benefits. While it may give parents more time, it could damage their mental and physical development.

","The essay would score a highly on all the the four criteria used for marking IELTS essays. 

Task Response: The essay answers all parts of the question, ideas are relevant and extended appropriately.

Coherence and Cohesion: The essay is well-organised and easy to read at the sentence and paragraph level and makes good use of linking words and connectors.

Lexical Resource: There is a wide range of accurate and topic relevant vocabulary and a good understanding of collocations and idioms.

Grammatical Range and Accuracy: There is also a good mix of grammatical structures that are accurate, and a good level of complexity in the grammar. 

",9.0
